trippoint_id,point_timestamp,latitude,longitude,category,speed,speed_limit,bearing,trip_id
3115697748,2013-09-11 07:29:41,41.973389,12.547637,5,114.0,20.0,300.0,631451756
3128032908,2013-09-14 07:43:02,41.973366,12.547633,5,44.0,20.0,46.0,635759310
3113233999,2013-09-10 13:36:20,41.97335,12.547633,5,54.0,20.0,44.0,630864932
3171802549,2013-09-24 13:10:53,41.973433,12.5476,1,100.0,20.0,300.0,643795886
3114292391,2013-09-11 06:10:24,41.97335,12.547566,5,100.0,20.0,120.0,631100142
3184134335,2013-09-27 07:13:39,41.973352,12.547575,5,102.0,20.0,120.0,646635319
3189091713,2013-09-28 11:11:30,41.973427,12.547628,5,90.0,20.0,300.0,647745072
2691802960,2013-05-28 16:37:54,41.97335,12.547566,5,114.0,20.0,120.0,545575312
2686338866,2013-05-27 14:07:53,41.973366,12.54755,1,90.0,20.0,120.0,544138900
2649420973,2013-05-17 09:53:17,41.973373,12.547577,5,86.0,20.0,120.0,533784413
2646459570,2013-05-16 14:42:04,41.97335,12.5476,5,54.0,20.0,48.0,534826886
2697085335,2013-05-29 19:19:13,41.973366,12.547616,5,116.0,20.0,120.0,544434880
2663537574,2013-05-20 18:55:01,41.973366,12.547616,5,114.0,20.0,120.0,536858130
2660807599,2013-05-20 11:25:10,41.973433,12.547566,1,110.0,20.0,300.0,536250826
2640823793,2013-05-14 06:37:12,41.97335,12.547616,5,44.0,20.0,46.0,531790180
2613803891,2013-05-07 06:10:08,41.973383,12.547566,5,106.0,20.0,120.0,525520451
2592123137,2013-05-01 15:03:27,41.973432,12.547619,1,110.0,20.0,300.0,520736035
2684868776,2013-05-27 07:24:38,41.97335,12.54755,1,124.0,20.0,120.0,542088045
2631879533,2013-05-11 04:15:04,41.97337,12.547589,5,144.0,20.0,120.0,529780059
2691795521,2013-05-29 03:45:09,41.973432,12.547593,1,170.0,20.0,300.0,545378298
2702675414,2013-05-31 16:00:28,41.97335,12.547583,5,102.0,20.0,120.0,545741611
